CUSTOMER_NUMBER|CUSTOMER_FIRST_NAME|CUSTOMER_LAST_NAME|DATE_OF_BIRTH|GENDER|STREET_ADDRESS|COUNTRY|COUNTRY_CODE|EMAIL|INTEREST_TYPE|INTEREST_RATE|GROSS_BALANCE|INTEREST_BALANCE|PRINCIPLE_BALANCE|PROPERTY_OWNER|PROPERTY_VALUE|PROPERTY_YEAR
1208538993|Kerr|Colloby|1959-06-25|Male|7304 Arizona Place|Philippines|PH|kcolloby0@ft.com|0% FIXED|0.0|657052.97|7800.34|649252.63|Y|6536035.0|1965
2994516667|Bernardo|Hartop|1989-02-25|Male|0551 Mariners Cove Street|Russia|RU|bhartop1@cbslocal.com|0% FIXED|0.0|181021.0|-6270.59|187291.59|Y|7817794.0|1983
5694078640|Agustin|Pattrick|2004-03-13|Male|03 6th Hill|Thailand|TH|apattrick2@craigslist.org|10% FIXED|0.1|999717.75|6826.51|992891.24|N||
1008558214|Rubie|Canto|1966-02-24|Female|89 Rieder Terrace|Philippines|PH|rcanto3@apple.com|1% FIXED|0.01|337396.8|-1741.78|339138.58|N||
8008647159|Tobie|Morrowe|2006-01-10|Male|12268 Browning Street|Poland|PL|tmorrowe4@prnewswire.com|1% FIXED|0.01|-50398.0|2705.68|-53103.68|Y|6926950.0|2017
8454249885|Sander|Creser|1947-11-04|Male|238 Packers Junction|Russia|RU|screser5@ezinearticles.com|1% FIXED|0.01|702511.75|5120.25|697391.5|N||
8764028089|Emeline|Abrey|2013-12-25|Female|463 Donald Pass|Indonesia|ID|eabrey6@intel.com|10% FIXED|0.1|-239083.29|-1375.31|-237707.98|N||
3564388087|Bernarr|Scanterbury|1990-09-18|Male|13 Blaine Trail|Germany|DE|bscanterbury7@webmd.com|10% FIXED|0.1|-249134.0|-9956.15|-239177.85|Y|2443529.0|1986
6121468300|Sinclare|Hardwell|1953-04-24|Male|08 Claremont Junction|United States|US|shardwell8@cnbc.com|0% FIXED|0.0|243951.42|4267.93|239683.49|N||
0097725358|Corny|Borgnet|1961-10-30|Male|03 Weeping Birch Junction|Honduras|HN|cborgnet9@meetup.com|0% FIXED|0.0|652237.08|1091.71|651145.37|Y|6944820.0|1958
5033664417|Elva|Janse|1976-11-26|Female|85909 Pankratz Trail|Venezuela|VE|ejansea@usatoday.com|10% FIXED|0.1|736429.51|6345.83|730083.68|N||
3707498042|Gabbie|Stammers|1947-07-23|Female|2078 Dawn Crossing|China|CN|gstammersb@google.ca|0% FIXED|0.0|431210.0|3398.4|427811.6|Y|5197586.0|1940
