ID,ADDR_1,ADDR_2,ADDR_3,PostCode,City,Country
1,Apt 38,High Gardens,Sandyford,D05W5W4,Dublin,Ireland
5,Apt 33,The Willow,Rockfield,D12W5W5,Dublin,Ireland
7,Apt 33,The Willow,Rockfield,D12W5W5,Dublin,Ireland
2,Apartment 32,The Willows,Rockfield,D12W5W4,Dublin,Ireland
3,Apt 32,Rockfield,The Willows,D12W5W4,Dublin,Ireland
4,Apt 32,The Willows,Rockfield,D12W5W4,Dublin,Ireland
8,Apt 38,Wykham Place,Dundrum,D12W5W7,Dublin,Ireland
9,Apt 38,Wykhaam place,Dundrum,D12W5W7,Dublin,Ireland
10,Apt 45,Upper Gardiner Place,Parnell,D08W3W2,Dublin,Ireland
10,Apt 45,Upper Gardiner Place,Parnell,D08W3W2,Dublin,Ireland
